CASE 1: g11,,,,,,CASE 2: g12,,,,,,CASE 3: g22,,,,,
"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",
r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r)
4.1941857,1.0011764,3.4498549,1.0069216,3.2131472,0.9899961,3.4146876,0.9978423,3.5383844,1.0004388,2.0643976,0.95802295,3.498209,0.9948608,3.5358732,1.016237,2.6242304,1.0547394
4.276509,1.001166,3.532183,1.0097371,3.312629,0.9946934,3.5383773,1.0016905,3.6552436,0.9967712,2.1330976,0.9630817,3.5564444,1.0101677,3.6832292,1.0194639,2.7202005,1.0457147
4.372556,1.0030379,3.5561924,1.0087922,3.3915317,1.0003352,3.6483567,0.9992696,3.7445762,0.99934185,2.2086349,0.97440445,3.7003832,1.007296,3.7380612,1.0195307,2.7613528,1.0274818
4.461738,1.0020847,3.6453712,1.0059551,3.4807167,1.001266,3.7548783,1.0006014,3.8545554,0.9969209,2.256695,0.983203,3.803193,1.0074214,3.8203092,1.0196309,2.8882127,0.988023
4.5337677,1.0001918,3.7242644,1.0059452,3.52531,1.0022024,3.8545341,1.0006763,3.9610984,0.99449736,2.3322039,0.9995328,3.9162982,0.9984176,3.9505398,1.0167425,2.9841921,0.972904
4.6435323,1.000178,3.8065877,1.0059348,3.6282268,1.0097251,3.9576266,1.0007536,4.0641766,0.99707836,2.3699265,1.0133307,4.0362525,0.9924695,4.0841975,1.0138582,3.0698671,0.97300845
4.7395763,1.0001659,3.8957636,1.0012139,3.7379913,1.0097113,3.9885685,0.9982733,4.1981964,0.997179,2.4626672,1.0209111,4.1356354,0.9925906,4.1801767,0.99873924,3.1589644,0.9761642
4.828763,1.0020386,3.9677966,1.0012048,3.844324,1.008756,4.05386,0.99832237,4.325344,0.99727446,2.5520139,1.0209782,4.258998,0.9988353,4.187012,1.0109364,3.3131604,0.98854095
4.9007974,1.0029715,4.05012,1.0011945,3.9575171,1.0077999,4.1191874,0.9921125,4.4249926,0.99860114,2.6413534,1.022297,4.3721075,0.98678446,4.2795362,1.0140963,3.3953614,1.019113
4.989978,1.0010765,4.1255827,1.0011849,4.039823,0.99742794,4.205112,0.9896735,4.5452456,1.0024468,2.7066665,1.0185908,4.498869,1.0113164,4.4097576,1.0173022,3.498176,1.0161911
,,4.2147665,1.0011737,4.1255703,0.9936493,4.308183,0.99350625,4.668971,1.0000361,2.7685716,1.0098748,4.584558,1.0022794,4.553673,1.0296664,3.6318102,1.0285428
,,4.2970896,1.0011635,4.2113237,0.9936385,4.325365,0.9935192,4.7789288,1.0013705,2.8407998,0.99866307,4.707911,1.0146184,4.6941795,1.0298376,3.68322,1.0255582
,,4.403427,1.003034,4.2902184,0.9945706,4.325365,0.9935192,4.8889084,0.9989495,2.8992472,0.99369985,4.8484087,1.020884,4.820988,1.0238978,3.823727,1.0257294
,,4.4823174,1.0011402,4.396551,0.99361527,4.4318657,0.99860626,4.981677,1.0015228,2.9749122,0.98249066,4.9820757,1.0119054,4.97863,1.0240899,3.8785636,1.0227492
,,4.5955133,1.0020679,4.523468,0.9945413,4.524656,0.9974242,,,3.0539849,0.9762911,,,,,3.9779794,1.00154
,,4.7052813,1.0039381,4.5474806,0.99548024,4.6071296,0.9974861,,,3.1433387,0.9751065,,,,,4.0774093,0.9711893
,,4.8150473,1.0048662,4.6366706,0.9992369,4.68616,0.99879724,,,3.2361076,0.9776797,,,,,4.2076306,0.9743952
,,4.9453955,1.0067338,4.72586,1.0029935,4.744579,0.99884117,,,3.3219543,0.9890102,,,,,4.307004,0.9806107
,,,,4.7807455,1.0048705,4.8064413,0.99763584,,,3.4044068,0.9928275,,,,,4.41664,0.9990275
,,,,4.8802214,1.0058,4.861417,0.9989289,,,3.493697,1.0029087,,,,,4.5399976,1.0083194
,,,,4.9728336,1.0048465,4.9576364,0.99900115,,,3.596775,1.0054897,,,,,4.625668,1.011471
,,,,,,4.9919934,1.0002787,,,3.665475,1.0105485,,,,,4.6839128,1.0206835
,,,,,,,,,,3.7067401,1.0055723,,,,,4.6839128,1.0206835
,,,,,,,,,,3.775426,1.0131346,,,,,4.803853,1.0238769
,,,,,,,,,,3.7995374,1.0031384,,,,,4.947806,1.0118637
,,,,,,,,,,3.9061017,0.9969596,,,,,4.999211,1.0119263
,,,,,,,,,,4.002371,0.98826945,,,,,,
,,,,,,,,,,4.1054773,0.98584336,,,,,,
,,,,,,,,,,4.2086053,0.9796619,,,,,,
,,,,,,,,,,4.3357167,0.9860163,,,,,,
,,,,,,,,,,4.4491115,0.9873532,,,,,,
,,,,,,,,,,4.548739,0.99243516,,,,,,
,,,,,,,,,,4.655204,1.0037811,,,,,,
,,,,,,,,,,4.7617326,1.0038612,,,,,,
,,,,,,,,,,4.871733,0.99768484,,,,,,
,,,,,,,,,,4.96108,0.99775195,,,,,,
