# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
6920 1.50942 14.5996
6930 1.50945 14.5996
6940 1.5095 14.5996
6950 1.50892 14.5996
6960 1.50785 14.5996
6970 1.50676 14.5996
6980 1.5061 14.5996
6990 1.50565 14.5996
7000 1.5049 14.5996
7010 1.50528 14.5996
7020 1.50529 14.5996
7030 1.50506 14.5996
7040 1.50575 14.5996
7050 1.50598 14.5996
7060 1.50703 14.5996
7070 1.50619 14.5996
7080 1.50622 14.5996
7090 1.50572 14.5996
7100 1.50614 14.5996
7110 1.50705 14.5996
7120 1.50738 14.5996
7130 1.50694 14.5996
7140 1.50727 14.5996
7150 1.50681 14.5996
7160 1.50658 14.5996
7170 1.50747 14.5996
7180 1.50794 14.5996
7190 1.508 14.5996
7200 1.50818 14.5996
7210 1.5083 14.5996
7220 1.50779 14.5996
7230 1.5087 14.5996
7240 1.50897 14.5996
7250 1.51003 14.5996
7260 1.51001 14.5996
7270 1.50978 14.5996
7280 1.50998 14.5996
7290 1.51007 14.5996
7300 1.51033 14.5996
7310 1.51025 14.5996
7320 1.51098 14.5996
7330 1.51057 14.5996
7340 1.50885 14.5996
7350 1.50742 14.5996
7360 1.50868 14.5996
7370 1.50946 14.5996
7380 1.51012 14.5996
7390 1.51106 14.5996
7400 1.51047 14.5996
7410 1.51075 14.5996
7420 1.51094 14.5996
7430 1.51121 14.5996
7440 1.51202 14.5996
7450 1.51122 14.5996
7460 1.51153 14.5996
7470 1.51174 14.5996
7480 1.51139 14.5996
7490 1.51181 14.5996
7500 1.51099 14.5996
7510 1.51135 14.5996
7520 1.51277 14.5996
7530 1.51386 14.5996
7540 1.5135 14.5996
7550 1.51388 14.5996
7560 1.51316 14.5996
7570 1.51313 14.5996
7580 1.51256 14.5996
7590 1.51248 14.5996
7600 1.5121 14.5996
7610 1.51183 14.5996
7620 1.5121 14.5996
7630 1.51068 14.5996
7640 1.51056 14.5996
7650 1.51016 14.5996
7660 1.51082 14.5996
7670 1.51108 14.5996
7680 1.5122 14.5996
7690 1.51148 14.5996
7700 1.51187 14.5996
7710 1.51095 14.5996
7720 1.51115 14.5996
7730 1.51187 14.5996
7740 1.51146 14.5996
7750 1.51119 14.5996
7760 1.51112 14.5996
7770 1.51094 14.5996
7780 1.51075 14.5996
7790 1.51036 14.5996
7800 1.51145 14.5996
7810 1.51204 14.5996
7820 1.51247 14.5996
7830 1.51292 14.5996
7840 1.51334 14.5996
7850 1.51266 14.5996
7860 1.51323 14.5996
7870 1.51467 14.5996
7880 1.51528 14.5996
7890 1.51599 14.5996
7900 1.51619 14.5996
7910 1.51708 14.5996
7920 1.51808 14.5996
7930 1.5163 14.5996
7940 1.51707 14.5996
7950 1.51619 14.5996
7960 1.51647 14.5996
7970 1.51682 14.5996
7980 1.51552 14.5996
7990 1.51514 14.5996
