# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
11900 1.50103 11.359
11910 1.52208 11.3616
11920 1.50981 11.3577
11930 1.46764 11.3611
11940 1.4843 11.3546
11950 1.50076 11.3508
11960 1.51056 11.349
11970 1.48341 11.3484
11980 1.50563 11.3577
11990 1.5074 11.361
12000 1.49522 11.3625
12010 1.49324 11.3617
12020 1.51983 11.3584
12030 1.49547 11.359
12040 1.50046 11.371
12050 1.49851 11.3716
12060 1.48103 11.3802
12070 1.4905 11.3864
12080 1.50686 11.3818
12090 1.4949 11.3819
12100 1.4892 11.3939
12110 1.47872 11.3912
12120 1.50463 11.3938
12130 1.50879 11.3879
12140 1.49578 11.3879
12150 1.48702 11.3882
12160 1.50866 11.3892
12170 1.50573 11.3865
12180 1.51758 11.388
12190 1.49028 11.3908
12200 1.50019 11.3939
12210 1.49738 11.3874
12220 1.50583 11.391
12230 1.50021 11.3856
12240 1.48074 11.3799
12250 1.52603 11.3729
12260 1.51954 11.3725
12270 1.48694 11.3605
12280 1.51563 11.3542
12290 1.51184 11.354
12300 1.52357 11.3615
12310 1.49549 11.3641
12320 1.49364 11.3623
12330 1.5125 11.3643
12340 1.5203 11.3667
12350 1.50803 11.3636
12360 1.50461 11.3587
12370 1.48929 11.3662
12380 1.47144 11.3721
12390 1.52941 11.3695
12400 1.47331 11.3706
12410 1.48955 11.3726
12420 1.49085 11.3708
12430 1.51336 11.37
12440 1.51867 11.3702
12450 1.48963 11.3634
12460 1.50156 11.3526
12470 1.53375 11.3508
12480 1.50187 11.3457
12490 1.4993 11.3425
12500 1.51355 11.3406
12510 1.49424 11.3522
12520 1.50904 11.3507
12530 1.49824 11.354
12540 1.49084 11.3578
12550 1.47839 11.3581
12560 1.51022 11.3525
12570 1.49017 11.3504
12580 1.4932 11.3531
12590 1.49163 11.3481
12600 1.50667 11.3473
12610 1.4911 11.34
12620 1.48981 11.3403
12630 1.50438 11.3359
12640 1.509 11.3347
12650 1.50737 11.3374
12660 1.49175 11.331
12670 1.48984 11.3268
12680 1.51388 11.3207
12690 1.51824 11.3183
12700 1.49809 11.32
12710 1.49629 11.3186
12720 1.49324 11.3166
12730 1.48914 11.3222
12740 1.50445 11.333
12750 1.50416 11.334
12760 1.49138 11.3401
12770 1.47536 11.3416
12780 1.4915 11.3434
12790 1.49203 11.3397
12800 1.50016 11.344
12810 1.50053 11.3435
12820 1.49036 11.3498
12830 1.48888 11.3452
12840 1.49109 11.3432
12850 1.51174 11.3411
12860 1.48339 11.3395
12870 1.505 11.334
12880 1.50689 11.34
12890 1.48277 11.3416
12900 1.51155 11.3314
12910 1.51166 11.3297
12920 1.48729 11.33
12930 1.50152 11.3323
12940 1.51238 11.335
12950 1.48332 11.3413
12960 1.48378 11.3472
12970 1.49141 11.3502
12980 1.51232 11.3504
12990 1.48386 11.3506
13000 1.49726 11.3562
13010 1.49164 11.3572
13020 1.50663 11.3555
13030 1.49875 11.3554
13040 1.49584 11.3551
13050 1.5272 11.3556
13060 1.4891 11.351
13070 1.50463 11.3537
13080 1.50613 11.3534
13090 1.50031 11.3576
13100 1.50762 11.3578
13110 1.49392 11.3581
13120 1.50314 11.3568
13130 1.5044 11.3617
13140 1.48234 11.3599
13150 1.47521 11.3625
13160 1.50043 11.3616
13170 1.48949 11.361
13180 1.51841 11.3636
13190 1.48046 11.365
13200 1.49002 11.3688
13210 1.50331 11.3746
13220 1.50585 11.3762
13230 1.52444 11.376
13240 1.48841 11.3773
13250 1.5136 11.3762
13260 1.49698 11.3725
13270 1.50599 11.3723
13280 1.50861 11.3691
13290 1.50189 11.3746
13300 1.51484 11.3752
13310 1.49955 11.3783
13320 1.52937 11.3803
13330 1.50728 11.3727
13340 1.48897 11.3655
13350 1.51068 11.3606
13360 1.50752 11.3572
13370 1.50401 11.3508
13380 1.52515 11.3495
13390 1.4909 11.3619
13400 1.48719 11.362
13410 1.48847 11.3635
13420 1.51316 11.3611
13430 1.51142 11.3568
13440 1.48973 11.3563
13450 1.50108 11.3639
13460 1.4878 11.3632
13470 1.50838 11.3654
